direction,seed,component,kind,side,sublayer,layer,train_d_toxic_vs_reference,train_auc_toxic_vs_reference,dev_d_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_d_toxic_vs_generated,dev_auc_toxic_vs_generated,dev_d_copy_vs_ordinary,dev_auc_copy_vs_ordinary,dev_d_template_vs_ordinary,dev_auc_template_vs_ordinary,control_language_max_auc,control_corr_token_count,train_rows_per_cell,dev_rows_per_cell,language_balanced
probe,1337,dec.mlp.L6.n1428,neuron,decoder,mlp,6,0.22442079,0.5454137511156234,0.25848892,0.5411946010940067,0.056904837,0.4958932412064556,-0.10928947,0.478652926021347,0.39736274,0.6022727272727273,0.8382296905959458,-0.18684903252754193,122,27,True
probe,1337,dec.mlp.L6.n1429,neuron,decoder,mlp,6,-0.0012535187,0.48905361959648447,-0.045878854,0.47792511304171115,-0.03105223,0.48466527798946635,-0.047459025,0.5048767022451233,0.00095277344,0.5582750582750583,0.9001295534217345,0.18394012269810975,122,27,True
probe,1337,dec.mlp.L6.n1430,neuron,decoder,mlp,6,0.06408104,0.5228441511474746,0.05824591,0.5303561448966113,-0.23438787,0.4708885840573084,-0.39787665,0.4012697828487302,-0.32108027,0.4268648018648018,0.7361111111111112,0.025613247093431216,122,27,True
probe,1337,dec.mlp.L6.n1431,neuron,decoder,mlp,6,0.2852423,0.5694738902657921,0.2522309,0.5495605344713712,0.42084393,0.560568341546851,0.08242638,0.5010121457489878,-0.45671546,0.3790792540792541,0.8609396433470508,0.1489834262881375,122,27,True
probe,1337,dec.mlp.L6.n1432,neuron,decoder,mlp,6,-0.18665604,0.46315622708617415,-0.2530538,0.44651052515707296,0.051431715,0.5151653711324493,-0.016484829,0.4840817077659183,0.8602475,0.7380536130536131,0.8490702636793171,0.08711864225886423,122,27,True
probe,1337,dec.mlp.L6.n1433,neuron,decoder,mlp,6,0.1159441,0.5164349156107644,0.11909621,0.5156564886788938,-0.1024807,0.4739707700384427,0.0859978,0.5166543982333456,0.73969233,0.6101398601398602,0.7940100594421583,-0.09747114732166212,122,27,True
probe,1337,dec.mlp.L6.n1434,neuron,decoder,mlp,6,-0.027647695,0.49634622977362386,0.003560142,0.5042253044082033,-0.10372279,0.5063252552964487,-0.19749708,0.47359219727640783,0.7221554,0.6716200466200466,0.9017870751409846,-0.04095043370485498,122,27,True
probe,1337,dec.mlp.L6.n1435,neuron,decoder,mlp,6,-0.20409761,0.42977213081575705,-0.3675198,0.37138647563887617,-0.19399765,0.43595149790851667,0.073435165,0.5396577107103423,-0.079033926,0.5285547785547785,0.6550830666057004,-0.025697425959314207,122,27,True
probe,1337,dec.mlp.L6.n1436,neuron,decoder,mlp,6,0.10687834,0.5281684533229817,0.11818675,0.5614489661128893,-0.010144453,0.4974089315653102,-0.10188905,0.43577475156422524,0.37402883,0.611888111888112,0.7449512269471117,-0.046281039248366955,122,27,True
probe,1337,dec.mlp.L6.n1437,neuron,decoder,mlp,6,-0.022087546,0.49389185835481636,0.003668125,0.4907788446883097,-0.09842809,0.4784670358515809,0.11840612,0.555483989694516,0.3543978,0.5894522144522144,0.926364121322969,-0.0479944751658703,122,27,True
probe,1337,dec.mlp.L6.n1438,neuron,decoder,mlp,6,0.37014252,0.603089405808209,0.32858834,0.5925587224169757,0.12209451,0.5339887212315196,-0.016723122,0.4952153110047847,-1.0976113,0.1824009324009324,0.8982243560432861,0.3809419502112488,122,27,True
probe,1337,dec.mlp.L6.n1439,neuron,decoder,mlp,6,0.11170904,0.5559113937909961,0.07417078,0.5387220782739759,-0.08743044,0.4951396297989805,0.013890443,0.499907986750092,-0.3001233,0.5247668997668997,0.9825483920134126,0.07469815706040367,122,27,True
probe,1337,dec.mlp.L6.n1440,neuron,decoder,mlp,6,0.07570305,0.5213353638508167,0.075307526,0.5289505326085115,-0.020168848,0.476189266541347,0.27181327,0.5593485461906514,-0.25724292,0.3094405594405594,0.8498132906569119,0.13237227767033227,122,27,True
probe,1337,dec.mlp.L6.n1441,neuron,decoder,mlp,6,-0.14977127,0.4396310894788007,-0.11474716,0.4562143304713035,0.07307966,0.5250554624125727,-0.04113305,0.4562016930437983,0.5453782,0.5801282051282051,0.9367093430879438,-0.24775805307657814,122,27,True
probe,1337,dec.mlp.L6.n1442,neuron,decoder,mlp,6,0.1849131,0.5436818391445283,0.22043677,0.5568595573168047,0.10234991,0.5306863791088757,-0.27297294,0.41479573058520425,1.0697253,0.8289627039627039,0.9327465325407712,-0.29344344237715514,122,27,True
probe,1337,dec.mlp.L6.n1443,neuron,decoder,mlp,6,-0.124608025,0.46379905839728475,-0.17210364,0.4508289725482227,-0.06438512,0.484766888516317,-0.023894412,0.4933750460066249,0.97641385,0.8126456876456877,0.8718945282731292,0.0944585496209845,122,27,True
probe,1337,dec.mlp.L6.n1444,neuron,decoder,mlp,6,0.11111987,0.5125654858477576,0.16038509,0.5369438940540907,-0.0037099929,0.492641704347237,-0.05140185,0.47754876702245125,0.24335116,0.5527389277389276,0.6371551592745008,0.046193127682443914,122,27,True
probe,1337,dec.mlp.L6.n1445,neuron,decoder,mlp,6,-0.14690876,0.45810232879121177,-0.12011891,0.45174346728987796,0.018935489,0.5015072228149503,-0.25245774,0.45454545454545453,-0.19043005,0.47202797202797203,0.9413008687700045,-0.2560292377638331,122,27,True
probe,1337,dec.mlp.L6.n1446,neuron,decoder,mlp,6,0.20935236,0.5732446143178025,0.14552669,0.5644295415671731,0.17138977,0.5731257091568019,-0.22432226,0.45371733529628266,0.6340297,0.6896853146853146,0.630506020423716,-0.08938441881530566,122,27,True
probe,1337,dec.mlp.L6.n1447,neuron,decoder,mlp,6,0.048647195,0.48551265589696113,0.043752104,0.48537655167742044,0.1516687,0.5466561669122255,0.009766161,0.47745675377254326,0.37757385,0.6011072261072261,0.7026177411979881,0.009388499126329677,122,27,True
probe,1337,dec.mlp.L6.n1448,neuron,decoder,mlp,6,0.09622928,0.5459910551059884,0.14028674,0.569899574929296,0.17357497,0.5545309827431456,0.16845597,0.5285241074714759,-0.52524334,0.2951631701631702,0.8239597622313671,0.15156313161607365,122,27,True
probe,1337,dec.mlp.L6.n1449,neuron,decoder,mlp,6,-0.022525866,0.5094973142093092,0.040554933,0.5477146099002523,0.026004435,0.5252078782028485,0.062508866,0.506900993743099,0.36833787,0.6713286713286714,0.7670515165371131,-0.13151130314499798,122,27,True
probe,1337,dec.mlp.L6.n1450,neuron,decoder,mlp,6,-0.0028298572,0.5081386591285364,0.090035796,0.5325069010482819,-0.03257248,0.5060119561719928,0.004614232,0.49282296650717705,0.05923825,0.5684731934731935,0.7832837982014936,-0.06780726041613012,122,27,True
probe,1337,dec.mlp.L6.n1451,neuron,decoder,mlp,6,0.010750285,0.4900099866954655,0.011289225,0.47140510423546544,-0.0881998,0.4753679147826382,0.23517145,0.5483069562016931,-0.9077109,0.39277389277389274,0.885821521109587,0.06856980322990605,122,27,True
probe,1337,dec.mlp.L6.n1452,neuron,decoder,mlp,6,0.10285471,0.5523878487463545,0.07549366,0.5574692204779081,0.073756665,0.5564192450337856,0.2292433,0.506348914243651,-1.0742627,0.32400932400932403,0.9866255144032922,0.20463912541895607,122,27,True
probe,1337,dec.mlp.L6.n1453,neuron,decoder,mlp,6,-0.245408,0.4210163536285546,-0.24977401,0.4329116496469034,-0.077507086,0.46849226913241543,0.026223825,0.4882223040117777,0.3478323,0.5294289044289044,0.6961019661636946,0.021520355401687778,122,27,True
probe,1337,dec.mlp.L6.n1454,neuron,decoder,mlp,6,0.1446447,0.5412589871964593,0.14407341,0.5255127097834001,-0.31416687,0.4893308946806889,-0.12954575,0.4739602502760398,0.38585657,0.6372377622377622,0.7623456790123457,0.00032149644542170115,122,27,True
probe,1337,dec.mlp.L6.n1455,neuron,decoder,mlp,6,-0.25749385,0.46897156943739404,-0.19635507,0.4726752358210978,-0.24438724,0.4785855814662399,-0.14037432,0.4539933750460067,0.33604017,0.5364219114219114,0.9533607681755829,0.02918147224189527,122,27,True
probe,1337,dec.mlp.L6.n1456,neuron,decoder,mlp,6,0.07236545,0.4926045368130829,0.12507644,0.5127944588392691,-0.02698738,0.4941404596182832,0.23175718,0.5125138019874862,0.18371941,0.6025641025641025,0.7126962353299802,-0.12614214593235473,122,27,True
probe,1337,dec.mlp.L6.n1457,neuron,decoder,mlp,6,0.0272113,0.528615532131612,-0.017689992,0.49335297803519107,0.05859405,0.5246574878490745,0.09636499,0.5150901729849098,0.40566516,0.6564685314685315,0.634525986892242,-0.028246422145053747,122,27,True
probe,1337,dec.mlp.L6.n1458,neuron,decoder,mlp,6,-0.09969993,0.47250921529789214,0.0066714794,0.5207370150214229,-0.047125433,0.49490253856966254,0.0949676,0.47405226352594776,0.09601416,0.6424825174825175,0.7564776710867246,-0.1191372824785382,122,27,True
probe,1337,dec.mlp.L6.n1459,neuron,decoder,mlp,6,-0.09896206,0.49430575877319594,-0.13637577,0.46752696912733493,0.071940295,0.5027096140493489,0.02479161,0.5732425469267575,-0.43920967,0.32925407925407923,0.752362444749276,0.141036389877164,122,27,True
probe,1337,dec.mlp.L6.n1460,neuron,decoder,mlp,6,-0.012701389,0.49350781848766256,-0.09723484,0.476113058646209,0.00446323,0.5080018289894832,-0.14882833,0.45537357379462645,0.22869538,0.5480769230769231,0.745713305898491,-0.19272978695355797,122,27,True
probe,1337,dec.mlp.L6.n1461,neuron,decoder,mlp,6,0.23391072,0.5391272756228414,0.2486649,0.5361140747514777,-0.04881355,0.4715744551135498,-0.12914151,0.48270150901729847,-0.14566211,0.5469114219114218,0.9406721536351166,-0.32474958435311563,122,27,True
probe,1337,dec.mlp.L6.n1462,neuron,decoder,mlp,6,-0.08569536,0.4601270400562706,-0.18647458,0.4344527426374706,0.03805695,0.49076190960050126,0.21445845,0.5334928229665071,-0.56905764,0.38490675990675993,0.7220888584057308,0.11193712039598197,122,27,True
probe,1337,dec.mlp.L6.n1463,neuron,decoder,mlp,6,-0.1960923,0.4608312513893451,-0.10605715,0.471388169147657,-0.27029657,0.45884773662551437,-0.16966437,0.49217887375782116,1.0353144,0.7467948717948718,0.8030216430422191,-0.13595038661477035,122,27,True
probe,1337,dec.mlp.L6.n1464,neuron,decoder,mlp,6,-0.02890315,0.4877074064120557,-0.07018851,0.46659553929787134,0.032807294,0.5093735711019662,-0.09218548,0.4634707397865293,0.2552135,0.5885780885780886,0.7419410150891632,0.0741752288678345,122,27,True
probe,1337,dec.mlp.L6.n1465,neuron,decoder,mlp,6,-0.10034371,0.466399414733196,-0.123669274,0.4593473217158631,0.0557615,0.5074514386357093,-0.05468594,0.4715679057784321,1.0035468,0.7937062937062938,0.9248399634202105,-0.02617194971297666,122,27,True
probe,1337,dec.mlp.L6.n1466,neuron,decoder,mlp,6,0.14880677,0.552890501358655,0.17666687,0.5613812257616555,0.071925156,0.5289081948889904,0.033257965,0.5016562384983437,0.74171996,0.7398018648018649,0.8536236854138088,-0.024074378956569074,122,27,True
probe,1337,dec.mlp.L6.n1467,neuron,decoder,mlp,6,-0.29675567,0.4333910637323698,-0.27044904,0.4475266304255787,-0.008503424,0.5005419228098698,0.28212073,0.5527235921972763,-0.47576118,0.39160839160839156,0.7288523090992227,0.005742893965303455,122,27,True
