stage,split,intervention,family,n_seeds,delta_sta_mean,delta_sim_mean,delta_fl_mean,delta_j_mean,effect_size_sta_mean,effect_size_sim_mean,effect_size_j_mean,delta_sta_sd,delta_sim_sd,delta_j_sd
stage13_steering,dev,decoder/random/pooled_non_african@+0.25,steering_random_control,3,-0.0012579462107760143,4.2826292181069384e-05,-4.861522063257226e-05,-0.000878165374491164,-0.024866510640934623,-0.014239336730523626,-0.02425553904084129,0.002515241446484419,0.00022413095649575154,0.0017884475978147312
stage13_steering,dev,decoder/random/pooled_non_african@+0.50,steering_random_control,3,-0.0012403565693121694,0.00032319428120713235,0.00016755647963132578,-0.0007785925148696612,0.024243024919590753,0.01948809129302174,0.02290177223157584,0.002528619532418263,0.0007563502317554738,0.0018683452401550595
stage13_steering,dev,decoder/random/pooled_non_african@+1.00,steering_random_control,3,0.0005251081139858908,0.0011681563004115215,0.0005704696897330507,0.00042221845382466315,0.05783527262922671,0.04644263392140676,0.05294666428603073,0.0005459017788036221,0.0011114978490202815,0.00020056312674186864
stage13_steering,dev,decoder/random/pooled_non_african@-0.50,steering_random_control,3,-4.171049259259338e-06,0.00015257516460905293,-6.570501825528572e-05,0.0001593305332104639,-0.03782193379824322,0.04922280759835834,0.023351746795944078,7.05509867694241e-06,8.136473798092278e-05,0.0002842050462858171
stage13_steering,dev,decoder/random/pooled_non_african@-1.00,steering_random_control,3,0.0034683348062786597,0.0005090049739368995,8.039457734174394e-05,0.00212496377032333,0.059092688502313556,0.04121145653387987,0.07263044745750365,0.0030044686693576216,0.0006311114274171052,0.0014867151634131003
stage13_steering,dev,decoder/sae/sae_features@+0.25,steering_sae_control,3,-0.0004045327161552026,-0.0006567836488340191,-0.00016537389991318102,-0.0002583046287964264,-0.024822541722516512,-0.05484002736036781,-0.024605234999614287,0.0007043746473537112,0.0006481703861230892,0.000710427991695214
stage13_steering,dev,decoder/sae/sae_features@+0.50,steering_sae_control,3,0.002933725934656085,-0.0010060090123456787,-0.0004868822682310128,0.0014569971541084894,0.020439472893369184,-0.06430237661038653,0.02372663307924981,0.0029647957298852513,0.0006528229729927116,0.0021219554092022216
stage13_steering,dev,decoder/sae/sae_features@+1.00,steering_sae_control,3,0.009219554660299825,-0.0003636171906721541,-8.446957472087158e-05,0.005994597906266052,0.04010625979128105,-0.04106071107887072,0.03486271887626612,0.018204627277251348,0.003914955157536268,0.013138605418118754
stage13_steering,dev,decoder/sae/sae_features@-0.50,steering_sae_control,3,0.000248736534726632,0.002162535053497942,2.7876701771726445e-06,-0.0007639417395698492,0.0035898507400262173,0.0580585544325434,-0.00740748221557955,0.00039286079234095606,0.002595307893636267,0.0019080649314601756
stage13_steering,dev,decoder/sae/sae_features@-1.00,steering_sae_control,3,-0.004807513016843032,0.0038466738134430717,0.0003515739976675867,-0.005666113556761322,-0.03753664237364595,0.09534320515806094,-0.052736055826258336,0.004837278214136912,0.0007013111138287448,0.0065823222729811
