stage,split,intervention,family,seed,language,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,delta_j,effect_size_sta,effect_size_sim
stage11_ablation,dev,top_probe_direction,ablation_primary,1337,es,0.35910825425925935,0.19256431035532412,0.5457386594748519,-0.06664040037037035,-0.10553182144444442,-0.032000327231481475,0.17582049437949485,0.7538770026640833,-0.7054511388025078
stage11_ablation,dev,top_probe_direction,ablation_primary,1337,hi,0.03737465156962963,-0.0023636860067222164,0.11106034881541664,-0.043148145925925946,-0.06336116522222224,-0.02364892487037039,0.014625461232203455,0.20133098198137767,-0.7814863241244067
stage11_ablation,dev,top_probe_direction,ablation_primary,1337,uk,0.10382298226666664,-0.04421892157614814,0.26035667500331483,-0.059720660000000016,-0.09032000910185188,-0.03075276871296298,0.05226637856898792,0.24291489794036597,-0.7399322607516922
stage11_ablation,dev,top_probe_direction,ablation_primary,2024,am,0.16805235652444445,-0.009458885753333278,0.33366310839685187,-0.15333808962962964,-0.22036001362962968,-0.08757813810185186,-0.005423904877409038,0.34678723893206426,-0.8373227831250528
stage11_ablation,dev,top_probe_direction,ablation_primary,2024,ar,0.1502410092274074,-0.0010721167480370144,0.303896718347037,-0.04128316592592593,-0.0685032117037037,-0.017815205407407417,0.06832230440337145,0.3346809196901204,-0.5747611955666978
stage11_ablation,dev,top_probe_direction,ablation_primary,2024,de,0.1701538468540741,0.05976839201992594,0.30719585182227777,-0.05230168740740741,-0.0859621677222222,-0.025388387851851865,0.0454909325483528,0.4690065562844735,-0.6493407828258745
stage11_ablation,dev,top_probe_direction,ablation_primary,2024,en,0.11101437137074076,3.3185936250011175e-05,0.2589677909517223,-0.05020111444444444,-0.08539412270370371,-0.02143273179629629,0.03799087575859553,0.34697863292997777,-0.6008487745624707
stage11_ablation,dev,top_probe_direction,ablation_primary,2024,es,0.14289339930814812,0.027050999558481486,0.2954443765856852,-0.041128858148148165,-0.07027093325,-0.012062067092592626,0.07982555365278629,0.3923877806056303,-0.5137454305084475
stage11_ablation,dev,top_probe_direction,ablation_primary,2024,hi,0.019576495895555553,-0.09880001332100916,0.14468324926147222,-0.05075405962962964,-0.10303185508333332,0.016978883620370335,0.009310241556633226,0.05732160287257547,-0.29964970523827844
stage11_ablation,dev,top_probe_direction,ablation_primary,2024,uk,0.18460607436481485,0.001284480238351857,0.36839361511257407,-0.057100906666666666,-0.09226703946296297,-0.026670045268518523,0.06948976924408877,0.38439870465707066,-0.641882359055397
stage11_ablation,test,random_heads_matched,ablation_random_control,1337,am,0.01665589043230769,-0.00028540525630770246,0.04605531861199999,-0.020132970384615388,-0.054746207711538465,0.00910434958653846,-0.005439328202513449,0.2596363114514054,-0.23673902520255224
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,42,am,0.17340698977076924,0.004533582929384606,0.34428774242692306,-0.16565245500000003,-0.24410798574038456,-0.09306815217307698,-0.030049397102768043,0.39049620383607747,-0.8055651900461664
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,42,ar,0.09310332428269232,0.0003445764048076811,0.20837264630496152,-0.025121533846153846,-0.04115389063461538,-0.011455812461538463,0.04108794997681012,0.3463579351932301,-0.6209794931729833
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,42,en,0.10408983424346155,-0.0423305395506634,0.25332069163073073,-0.031578645,-0.06698890124038459,0.0037238522596153914,0.030482030194226666,0.25831656164328365,-0.33791578525084887
stage11_ablation,test,top_decoder_cross_heads,ablation_primary,42,es,0.3212546452223078,0.17028467586726923,0.5021475141765769,-0.09866909538461541,-0.13744410258653847,-0.06404257436538464,0.12423740487406641,0.7071172083610392,-0.9851094093675197
