stage,split,intervention,family,seed,scope,n_pairs,n_languages,sta,delta_sta,delta_sta_ci_lo,delta_sta_ci_hi,effect_size_sta,sta_languages_included,sim,delta_sim,delta_sim_ci_lo,delta_sim_ci_hi,effect_size_sim,sim_languages_included,fl,delta_fl,delta_fl_ci_lo,delta_fl_ci_hi,effect_size_fl,fl_languages_included,j,delta_j,delta_j_ci_lo,delta_j_ci_hi,effect_size_j,j_languages_included
stage13_steering,dev,decoder/random/pooled_african@-0.50,steering_random_control,1337,macro_over_languages,243,9,0.41513662249391536,0.0,0.0,0.0,,7.0,0.8216958870617286,0.0003242930864197537,-1.1543209876092713e-09,0.0009728766676954741,0.06415050401409622,9,0.5788825127289984,0.0003552746557556958,0.0,0.0010658239672670874,0.06415002990995843,9,0.2883248275377448,-1.0143795847841225e-09,-4.063704845040066e-09,1.0199955081476093e-09,-0.05276145143314656,7.0
stage13_steering,dev,decoder/random/pooled_african@-0.50,steering_random_control,2024,macro_over_languages,243,9,0.4325905446183598,0.00038014278386243376,-5.2317711640251475e-08,0.0011404812399470898,0.072735981520708,7.0,0.8236290883292182,-0.0001567972016460901,-0.0004703967911522636,4.404320987446303e-09,-0.06414938748000523,9,0.5723699798852712,0.00021186056715746929,0.0,0.0006355817014724079,0.06415002990995843,9,0.3001654948385623,0.0003014368927239196,-2.8209864760863596e-08,0.0009043517545253827,0.0727360251529594,7.0
stage13_steering,dev,decoder/random/pooled_african@-1.00,steering_random_control,42,macro_over_languages,243,9,0.4134076957444973,0.009186119802804234,-0.002444807244458994,0.026089568547,0.08963603173821598,7.0,0.836967744691358,-0.0012968819629629643,-0.00387602263302469,0.00040387071491769386,-0.07570891330595216,9,0.5750358222294931,-0.0005754822616556091,-0.0025067141976734346,0.0008899744681203637,-0.04381023786852301,9,0.28831920372482994,0.0057642679363479315,-0.0022758607760352046,0.01669177471982258,0.08305206157513163,7.0
stage13_steering,dev,decoder/random/pooled_african@-1.00,steering_random_control,1337,macro_over_languages,243,9,0.4151352237108466,-1.3987830687831415e-06,-4.520634920634507e-06,3.2428571428508256e-07,-0.0673227645409851,7.0,0.8207282393868313,-0.0006433545884773657,-0.0034617298703703706,0.0011589129336419747,-0.03381832456067307,9,0.5794507025634439,0.0009234644902012368,7.265656628255301e-05,0.002033268134344077,0.11785812786152387,9,0.2889217462769966,0.0005969177248721996,-4.4622806776119024e-09,0.0016843508959823235,0.08696475052885048,7.0
stage13_steering,dev,decoder/random/pooled_african@-1.00,steering_random_control,2024,macro_over_languages,243,9,0.4325905394657143,0.0003801376312169311,-4.901047486764591e-08,0.001140473943206349,0.07273499036104354,7.0,0.8236290891522634,-0.0001567963786008235,-0.000474318658436209,6.99691358085588e-09,-0.06414904935290631,9,0.5723699798852712,0.00021186056715746929,0.0,0.0006355817014724079,0.06415002990995843,9,0.3001654919935883,0.0003014340477499055,-4.197709956089373e-08,0.0009043448009269895,0.07273533500571716,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+0.25,steering_random_control,42,macro_over_languages,243,9,0.4051990337108994,0.0009774566543386245,-0.012461613706531744,0.01539447547171561,0.010741513513844355,7.0,0.8385706938559673,0.0003060797325102914,1.0620884775840611e-08,0.000836833086213994,0.07881533532412435,9,0.5755698410480777,-4.146344307108912e-05,-0.00011323794372050199,0.0,-0.08246584628306118,9,0.2831623318623548,0.0006073954071948364,-0.007755944881518588,0.010170173340406551,0.010047447842843771,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+0.25,steering_random_control,1337,macro_over_languages,243,9,0.41518942092550265,5.2798431587301425e-05,-5.4505747354783264e-08,0.00015845487850793625,0.07271799489548304,7.0,0.8218578977407408,0.00048630430041152266,-2.243827160326481e-09,0.0012969003945473244,0.08619952603766372,9,0.5790163566584619,0.0004891185852191944,0.0,0.0013335118261940848,0.08275995697576706,9,0.28862405289027065,0.0002992266730181555,-4.940417001805131e-08,0.0008977372257043241,0.07273532163101538,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+0.25,steering_random_control,2024,macro_over_languages,243,9,0.432210375288201,-1.1123280423448908e-08,-7.055728042303808e-08,4.1271047619821175e-08,-0.02848113996768411,7.0,0.8237858972181069,9.629629627302309e-09,-5.761316901491426e-10,2.033024691335903e-08,0.11855976754513987,9,0.5721581193181136,0.0,0.0,0.0,,9,0.2998640401980611,-6.0718574419045916e-09,-4.68464137349332e-08,3.729678279694852e-08,-0.0205080723101484,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+0.50,steering_random_control,42,macro_over_languages,243,9,0.4051990323516402,0.0009774552950793656,-0.012461615150052908,0.015394235572022488,0.010741498574874957,7.0,0.8382360776419753,-2.8536481481478618e-05,-0.0009326245757201616,0.0007723334784979447,-0.004377544076451302,9,0.5757262380111808,0.0001149335200319619,-8.292688614217823e-05,0.00046919088930915304,0.046122685987035415,9,0.28316233009513975,0.0006073936399797203,-0.007740766880527365,0.010170111624747324,0.010047418606858087,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+0.50,steering_random_control,1337,macro_over_languages,243,9,0.4151894470770371,5.282458312169311e-05,-4.413669312159167e-08,0.0001584623487235448,0.07275419044593329,7.0,0.8216387516913581,0.00026715825102880666,-0.0004954257186213991,0.0011348919320987663,0.04040802251609925,9,0.578606244408518,7.900633527536737e-05,-0.0010964928203679827,0.0011120810999018873,0.009050589837276777,9,0.2886238040837854,0.0002989778665329403,-6.025949272641348e-07,0.0008977561403116824,0.07267448549322703,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+0.50,steering_random_control,2024,macro_over_languages,243,9,0.43221039077328044,4.361798942126302e-09,-8.024597354581932e-08,1.0728125264564485e-07,0.006619963733060365,7.0,0.8264595231440329,0.0026736355555555553,-5.679012345442544e-09,0.008020910951646093,0.06415002693549299,9,0.5730365958428388,0.0008784765247252678,0.0,0.0026354295741758036,0.0641500299099584,9,0.2998645948651932,5.485952745682622e-07,-6.915720226845922e-08,1.7375581649726106e-06,0.06851148618293174,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+1.00,steering_random_control,42,macro_over_languages,243,9,0.4104819319839682,0.006260354927407407,-0.008307826209939152,0.02196119725235317,0.05379084190761821,7.0,0.8383554784609054,9.086433744856069e-05,-0.0010549586028806568,0.0011271975483539104,0.01057307887635541,9,0.5759609532416852,0.0003496487505363599,-0.00018138963608339706,0.0011546402140691571,0.061252212140576044,9,0.28675206434266076,0.004197127887500752,-0.005565345034488485,0.017149940940536266,0.05380210086049712,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+1.00,steering_random_control,1337,macro_over_languages,243,9,0.4152010878720635,6.446537814814846e-05,-3.6783041746036284e-06,0.0001859415102420633,0.08606856347049577,7.0,0.8222429070000001,0.0008713135596707825,-2.093070216049358e-05,0.0020399952366255162,0.1023596453061709,9,0.5785717429079548,4.450483471198902e-05,-0.00118744934609029,0.0011862055671283997,0.004864202178011913,9,0.2886463560724347,0.0003215298551822149,-8.398978248730839e-07,0.0009541845106181761,0.07806339882012668,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@+1.00,steering_random_control,2024,macro_over_languages,243,9,0.43221039353,7.1185185186261266e-09,-7.257222354485959e-08,1.1507688624324959e-07,0.010820303409577214,7.0,0.8264595231440328,0.0026736355555555557,-3.744855965883761e-09,0.00802090934670782,0.06415003090140256,9,0.5730365958428388,0.0008784765247252678,0.0,0.0026354295741758036,0.0641500299099584,9,0.2998645977545749,5.514846563285329e-07,-6.63227622238628e-08,1.7399603272050242e-06,0.06887439040737353,7.0
stage13_steering,dev,decoder/random/pooled_all_balanced@-0.50,steering_random_control,42,macro_over_languages,243,9,0.4042212784511111,-2.986054497356078e-07,-7.901801044977122e-07,3.902277777451794e-09,-0.0983930164920687,7.0,0.8385646833209877,0.00030006919753086593,6.9695473262416764e-09,0.0008497957117283992,0.0756359029131677,9,0.5753467383168631,-0.00026456617428569665,-0.001039661530687262,0.000245963007830172,-0.04761381382817224,9,0.28240169964208756,-0.0001532368130724309,-0.0004597111347148856,7.1353740988116426e-09,-0.07274126190627814,7.0
