seed,side,layer,feature,auc_toxic_vs_reference_train,auc_toxic_vs_reference_dev,auc_copy_vs_ordinary_dev,auc_template_vs_ordinary_dev,corr_token_count_dev,corr_sequence_length_dev,auc_language_max_dev,n_languages_active_dev,auc_toxic_vs_generated_dev,candidate_cross_lingual,label
42,decoder,6,2908,0.6311052385360368,0.6657013666615862,0.4691639813820265,0.4398496240601504,0.07482905729343667,0.07482905729343667,0.6970593278463648,9,0.5186794018526987,True,candidate (associative; causal status untested -- Stage 11)
42,decoder,6,2194,0.4032750389016626,0.33525546579959015,0.4445488721804512,0.3708791208791209,-0.10228421420904395,-0.10228421420904395,0.6580504115226338,9,0.4042828837067521,True,candidate (associative; causal status untested -- Stage 11)
42,decoder,6,629,0.38631963729383784,0.3384731324831919,0.4549319727891156,0.541497975708502,-0.06504785623348575,-0.06504785623348575,0.7978823731138547,9,0.4148165083235956,True,candidate (associative; causal status untested -- Stage 11)
42,decoder,6,1831,0.4067633319066626,0.34820234042913517,0.4287952022914429,0.8649508386350492,-0.4487707495121212,-0.4487707495121212,0.8503515089163236,9,0.40059103456451434,False,not a candidate
42,decoder,6,2022,0.3936118327410991,0.34884587376585546,0.3930361618331543,0.5773568536726431,-0.24904111294266268,-0.24904111294266268,0.8518518518518519,9,0.43490152246439395,True,candidate (associative; causal status untested -- Stage 11)
42,decoder,6,1274,0.614962707489358,0.6464885095429219,0.429735051915503,0.7377096587622902,-0.10657242790937003,-0.10657242790937003,0.8106781550068587,9,0.5204999237921049,False,not a candidate
42,decoder,6,1161,0.5792436820050365,0.6423478805737609,0.5145452918009309,0.5,-0.12974395235563818,-0.12974395235563818,0.6589506172839505,8,0.5540483327406053,False,not a candidate
42,decoder,6,1877,0.39751402616447856,0.3590323290826263,0.4733261725742929,0.8765182186234819,-0.15606126369583034,-0.15606126369583034,0.7290809327846364,9,0.39272468627749835,False,not a candidate
42,decoder,6,1315,0.5861062172985491,0.6403834103879829,0.49042248478338696,0.615962984384037,-0.10252860016740371,-0.10252860016740371,0.7724622770919067,5,0.5240986299513962,False,not a candidate
42,decoder,6,2471,0.40481161310015557,0.36220765804670696,0.49328678839957035,0.3867842683632158,-0.17970975905551648,-0.17970975905551648,0.6231567215363512,9,0.4357567443987197,False,not a candidate
42,decoder,6,251,0.5809287294999022,0.6331859980693999,0.46075008950948804,0.5540775014459226,-0.17823379958510255,-0.17823379958510255,0.780778463648834,8,0.5836169960541243,False,not a candidate
42,decoder,6,1637,0.5721074249919542,0.6294602787515454,0.47390798424633007,0.4323308270676692,0.06382194118663,0.06382194118663,0.6899862825788751,7,0.5457924774339955,False,not a candidate
42,decoder,6,1295,0.5897160261578428,0.6290792392758556,0.42812388113139993,0.41555812608444187,-0.06714712926094735,-0.06714712926094735,0.6743827160493827,9,0.5209995088824535,False,not a candidate
42,decoder,6,716,0.5906964475897557,0.628859083134346,0.4314357321876119,0.7573742047426257,-0.1483370225204524,-0.1483370225204524,0.8265817901234568,8,0.5225406018730206,False,not a candidate
42,decoder,6,1264,0.3986449945421548,0.37170824230723637,0.4859470103831006,0.8230190861769809,-0.08522279218076984,-0.08522279218076984,0.842571159122085,9,0.4285085268167116,False,not a candidate
42,decoder,6,1222,0.5852987382258188,0.6255567410117021,0.4379699248120301,0.6633892423366108,-0.13048782092121733,-0.13048782092121733,0.7823216735253773,6,0.5559027248556284,False,not a candidate
42,decoder,6,2029,0.41853295111827765,0.3770173923351793,0.5731292517006803,0.3684210526315789,0.09725068877326908,0.09725068877326908,0.8135716735253773,9,0.4544954190587478,False,not a candidate
42,decoder,6,2634,0.4230742432838644,0.377364561635252,0.4298245614035088,0.2959803354540197,-0.13179187646670476,-0.13179187646670476,0.8212877229080933,9,0.4298718013852902,False,not a candidate
42,decoder,6,2153,0.5917701832442495,0.6215769953767211,0.46303258145363413,0.44910352805089654,-0.23180578929228937,-0.23180578929228937,0.6343664266117971,9,0.5073244254771462,False,not a candidate
42,decoder,6,1896,0.5968556010099502,0.6211112804619893,0.4954797708557107,0.37781954887218044,0.050447143657117374,0.050447143657117374,0.8196587791495199,8,0.5380785449372556,False,not a candidate
42,decoder,6,2126,0.4038245559901925,0.38046368270419484,0.44933762978875763,0.8591671486408329,-0.17668800392645087,-0.17668800392645087,0.8708847736625515,8,0.43615471896221786,False,not a candidate
42,decoder,6,2626,0.5650665558508432,0.6192992260664871,0.48720014321518074,0.45112781954887216,0.03184059043100596,0.03184059043100596,0.6408179012345679,9,0.4965875798066013,False,not a candidate
1337,encoder,6,1331,0.36758670342832306,0.3443242053210046,0.5427861612072138,0.20483682983682983,0.001300738262918594,0.001300738262918594,0.8051054526748971,9,0.4442666260224559,True,candidate (associative; causal status untested -- Stage 11)
1337,encoder,6,3004,0.40928613375536244,0.37184372300970375,0.5260397497239602,0.34324009324009325,0.15864781865500288,0.15864781865500288,0.7509645061728396,9,0.45732357872275564,False,not a candidate
1337,encoder,6,917,0.41405345370453317,0.37656861250825585,0.5914611704085388,0.19463869463869465,0.34636688862496845,0.34636688862496845,0.7527434842249657,9,0.45268336466324577,False,not a candidate
1337,encoder,6,472,0.42148665731036056,0.3788209791867771,0.48168936326831063,0.24475524475524474,-0.12095114536707277,-0.12095114536707277,0.7091906721536351,7,0.43995664617521046,False,not a candidate
1337,encoder,6,787,0.4188439985268795,0.38623008010296533,0.5060728744939271,0.36305361305361306,-0.19186206955184548,-0.19186206955184548,0.6216778120713305,9,0.4445799251469119,False,not a candidate
1337,encoder,6,579,0.4196133224508213,0.3876018222154482,0.5347810084652189,0.543123543123543,-0.11384476656977421,-0.11384476656977421,0.7916881001371743,9,0.4188724618537147,False,not a candidate
1337,encoder,6,1823,0.44220905040129266,0.38954935731341767,0.5610047846889952,0.28525641025641024,0.09654717017213461,0.09654717017213461,0.6532921810699588,9,0.43102338735626344,False,not a candidate
1337,encoder,6,664,0.4126437868487497,0.39159003539433357,0.5818917924181082,0.3353729603729604,0.22134624717553555,0.22134624717553555,0.88460219478738,9,0.45284424799742584,False,not a candidate
1337,encoder,6,2898,0.4417146923865548,0.39387627224847155,0.5569101950680898,0.30230186480186483,0.1437765546656749,0.1437765546656749,0.7998971193415637,9,0.46732374807363375,False,not a candidate
1337,encoder,6,544,0.4331712568969579,0.3985503564835984,0.5126978284873022,0.2676282051282051,0.21896205576316785,0.21896205576316785,0.8100137174211249,9,0.47060068756456497,False,not a candidate
