seed,side,layer,token_set,language,k,d_sae,expansion,n_train_tokens,tokens_per_latent,sampling,train_recon_mse,train_explained_variance,train_mean_l0,train_dead_feature_rate,train_n_alive_features,train_all_finite,dev_recon_mse,dev_explained_variance,dev_mean_l0,dev_dead_feature_rate,dev_n_alive_features,dev_all_finite,below_min_tokens,status
2024,encoder,6,content,xh,64,768,1,3094,4.028645833333333,per-language (xh),0.005063568241894245,0.9916775351170498,64.0,0.12890625,669,True,0.011946724727749825,0.9812312769336716,63.999996185302734,0.171875,636,True,False,exploratory (underdetermined)
2024,encoder,6,content,yo,64,768,1,4721,6.147135416666667,per-language (yo),0.00482906261458993,0.9946750925232594,64.0,0.1653645932674408,641,True,0.006723254453390837,0.9924368594970446,64.0,0.2317708432674408,590,True,False,exploratory (underdetermined)
2024,decoder,6,content,am,64,768,1,10039,13.071614583333334,per-language (am),0.09673511981964111,0.8987975444384032,64.0,0.0,768,True,0.21081894636154175,0.7799273935603631,64.0,0.0,768,True,False,exploratory (underdetermined)
2024,decoder,6,content,ar,64,768,1,5926,7.716145833333333,per-language (ar),0.06865648180246353,0.9197661361156607,64.0,0.0,768,True,0.30636346340179443,0.6527257633607154,64.0,0.0,768,True,False,exploratory (underdetermined)
2024,decoder,6,content,de,64,768,1,7098,9.2421875,per-language (de),0.08560880273580551,0.9017145981626357,64.0,0.0,768,True,0.3026876747608185,0.6502960632072897,64.0,0.0,768,True,False,exploratory (underdetermined)
2024,decoder,6,content,en,64,768,1,4106,5.346354166666667,per-language (en),0.04952925816178322,0.942587354520989,64.0,0.0,768,True,0.277568519115448,0.6727531096361756,64.0,0.0,768,True,False,exploratory (underdetermined)
2024,decoder,6,content,es,64,768,1,4877,6.350260416666667,per-language (es),0.07196099311113358,0.9222233137797505,64.0,0.0,768,True,0.3108980357646942,0.649588371475055,63.999996185302734,0.0,768,True,False,exploratory (underdetermined)
2024,decoder,6,content,hi,64,768,1,5408,7.041666666666667,per-language (hi),0.06421264261007309,0.9345141647756062,64.0,0.0,768,True,0.2684784233570099,0.7262738542632632,64.0,0.0,768,True,False,exploratory (underdetermined)
2024,decoder,6,content,uk,64,768,1,4993,6.501302083333333,per-language (uk),0.06152523308992386,0.9290287495195743,64.0,0.0,768,True,0.3454497754573822,0.5979718376336588,64.0,0.0,768,True,False,exploratory (underdetermined)
2024,decoder,6,content,xh,64,768,1,2850,3.7109375,per-language (xh),0.03927025943994522,0.9683378303567131,64.0,0.0,768,True,0.24858997762203217,0.7878110065303804,63.999996185302734,0.0,768,True,False,exploratory (underdetermined)
2024,decoder,6,content,yo,64,768,1,4477,5.829427083333333,per-language (yo),0.020568815991282463,0.9753873444056723,64.0,0.0,768,True,0.07607685774564743,0.9079068551871793,64.0,0.0,768,True,False,exploratory (underdetermined)
