side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,best_cos_seed1337,best_cos_seed2024,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,replicated,status,best_cos_seed42
encoder,4,all,1337,2712,0.5516434086151007,,0.42446643114089966,2,1,1,1,False,seed_specific,0.5587742328643799
encoder,4,all,1337,2484,0.5515077919449505,,0.276122510433197,1,1,1,1,False,seed_specific,0.31515374779701233
encoder,4,all,1337,916,0.5506364444709873,,0.41488224267959595,2,1,1,1,False,seed_specific,0.5794212222099304
encoder,4,all,1337,1068,0.4495431335662456,,0.24980537593364716,2,1,1,1,False,seed_specific,0.5814422369003296
encoder,4,all,1337,2649,0.550272311637984,,0.2911166846752167,1,1,1,1,False,seed_specific,0.27813780307769775
encoder,4,all,1337,2595,0.44998025885780074,,0.2585442066192627,1,1,1,1,False,seed_specific,0.305555522441864
encoder,4,all,1337,3037,0.45021416650906926,,0.3199370503425598,1,1,1,1,False,seed_specific,0.4063003361225128
encoder,4,all,1337,3024,0.548210689413771,,0.2573205232620239,1,1,1,1,False,seed_specific,0.366743266582489
encoder,4,all,1337,265,0.4529235968029303,,0.3291630148887634,1,1,1,1,False,seed_specific,0.46924078464508057
encoder,4,all,1337,691,0.4529352092395181,,0.29924243688583374,1,1,1,1,False,seed_specific,0.29650986194610596
encoder,4,all,1337,747,0.4530227172438048,,0.33150336146354675,1,1,1,1,False,seed_specific,0.27653881907463074
encoder,4,all,1337,2353,0.45316787270115233,,0.31516027450561523,1,1,1,1,False,seed_specific,0.2598298490047455
encoder,4,all,1337,1836,0.5466782625140594,,0.4948365092277527,1,1,1,1,False,seed_specific,0.38815993070602417
encoder,4,all,1337,2382,0.4535324202640336,,0.3273414969444275,1,1,1,1,False,seed_specific,0.4278656840324402
encoder,4,all,1337,2359,0.45392807256777506,,0.36426007747650146,1,1,1,1,False,seed_specific,0.3088657855987549
encoder,4,all,1337,2610,0.45417649576477853,,0.3899751603603363,1,1,1,1,False,seed_specific,0.4304749071598053
encoder,4,all,1337,666,0.5455054064186913,,0.2758198082447052,1,1,1,1,False,seed_specific,0.4221087098121643
encoder,4,all,1337,1869,0.5453138012149927,,0.3250821828842163,1,1,1,1,False,seed_specific,0.40107688307762146
encoder,4,all,1337,2717,0.45469947014110773,,0.3032357692718506,1,1,1,1,False,seed_specific,0.3727344870567322
encoder,4,all,2024,847,0.39862384331836986,0.420740008354187,,1,1,1,1,False,seed_specific,0.39910072088241577
encoder,4,all,2024,1554,0.408878454285155,0.31516027450561523,,1,1,1,1,False,seed_specific,0.30386197566986084
encoder,4,all,2024,1634,0.42183959243665414,0.3306349515914917,,1,1,1,1,False,seed_specific,0.404619038105011
encoder,4,all,2024,3052,0.577876732326701,0.28183823823928833,,1,1,1,1,False,seed_specific,0.30751562118530273
encoder,4,all,2024,927,0.42254007120082543,0.282501220703125,,1,1,1,1,False,seed_specific,0.2722393572330475
encoder,4,all,2024,1507,0.4265650246681332,0.37480032444000244,,1,1,1,1,False,seed_specific,0.28812360763549805
encoder,4,all,2024,2085,0.5734059442403974,0.38329726457595825,,1,1,1,1,False,seed_specific,0.3861795663833618
encoder,4,all,2024,1384,0.42688229302490704,0.3539203405380249,,1,1,1,1,False,seed_specific,0.26854509115219116
encoder,4,all,2024,1736,0.4286842943454069,0.26773250102996826,,1,1,1,1,False,seed_specific,0.3088328540325165
encoder,4,all,2024,1522,0.4297829137925886,0.255523681640625,,1,1,1,1,False,seed_specific,0.2776855230331421
encoder,4,all,2024,347,0.4350250994522248,0.4481463134288788,,1,1,1,1,False,seed_specific,0.3991037607192993
encoder,4,all,2024,908,0.5647467991148005,0.45400065183639526,,1,1,1,1,False,seed_specific,0.48288094997406006
encoder,4,all,2024,489,0.43697640352885353,0.32928192615509033,,1,1,1,1,False,seed_specific,0.32545387744903564
encoder,4,all,2024,1108,0.4383694811895117,0.3805774450302124,,1,1,1,1,False,seed_specific,0.30312347412109375
encoder,4,all,2024,957,0.5613385489762808,0.37145254015922546,,1,1,1,1,False,seed_specific,0.29073458909988403
encoder,4,all,2024,3003,0.4394598060391306,0.30315133929252625,,1,1,1,1,False,seed_specific,0.4157424569129944
encoder,4,all,2024,2724,0.4409909887492079,0.302427738904953,,1,1,1,1,False,seed_specific,0.38478565216064453
encoder,4,all,2024,151,0.4416466766865405,0.4953761696815491,,2,2,1,1,False,seed_specific,0.6300661563873291
encoder,4,all,2024,1357,0.5580742101054741,0.42446643114089966,,1,1,1,1,False,seed_specific,0.38288643956184387
encoder,4,all,2024,2127,0.44295556418193704,0.27797526121139526,,1,1,1,1,False,seed_specific,0.29502159357070923
encoder,4,all,2024,1128,0.4440438153821652,0.2982160449028015,,1,1,1,1,False,seed_specific,0.2850600779056549
encoder,4,all,2024,2554,0.4448177013347666,0.42624959349632263,,2,1,1,1,False,seed_specific,0.5527873635292053
encoder,4,all,2024,1883,0.4459096851038981,0.3860892653465271,,1,1,1,1,False,seed_specific,0.4855840802192688
encoder,4,all,2024,3053,0.4468175288071374,0.34574684500694275,,1,1,1,1,False,seed_specific,0.2529844641685486
