side,layer,token_set,seed,feature,train_auc_toxic_vs_reference,dev_auc_toxic_vs_reference,dev_auc_toxic_vs_reference_balanced,dev_auc_toxic_vs_generated,dev_auc_copy_vs_ordinary,dev_auc_template_vs_ordinary,dev_auc_language_max,dev_language_argmax,dev_corr_token_count,dev_corr_sequence_length,cos_with_probe_direction,cos_with_mean_diff_direction,cos_with_language_control,cos_with_length_control,dev_auc_contrast_am,dev_auc_contrast_ar,dev_auc_contrast_de,dev_auc_contrast_en,dev_auc_contrast_es,dev_auc_contrast_hi,dev_auc_contrast_uk,dev_auc_contrast_xh,dev_auc_contrast_yo,replicated,status,n_seeds_matched_at_0.5,n_seeds_matched_at_0.6,n_seeds_matched_at_0.7,n_seeds_matched_at_0.8,passes_contrast,passes_controls,passes_behaviour,passes_replication,detoxification_feature,label
encoder,6,all,42,1295,0.5661411209650931,0.5459194905925587,0.5459194905925587,0.6063608189808465,0.597296813462227,0.16078658183921343,0.7443844307270233,en,-0.44854010591659527,-0.44854010591659527,0.015651740019278704,-0.041260605878954054,0.06747104681151736,0.1021167160322198,0.5582990397805212,0.5171467764060357,0.5459533607681756,0.6433470507544582,0.6337448559670782,0.6227709190672153,0.5953360768175583,0.448559670781893,0.6090534979423868,False,seed_specific,1,1,1,1,False,False,True,False,False,not promoted
encoder,6,all,42,2201,0.4351768905876225,0.435926095276804,0.435926095276804,0.4596775559281275,0.48012889366272826,0.3152111046847889,0.7689043209876543,ar,0.030995619433090555,0.030995619433090555,-0.0035244805813206275,0.18316629092330183,0.1272299943787904,0.10607069565780117,0.41838134430727025,0.4307270233196159,0.3868312757201646,0.37517146776406035,0.43621399176954734,0.44718792866941015,0.44718792866941015,0.5185185185185185,0.4924554183813443,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,1542,0.4355708839718515,0.44060017951193076,0.44060017951193076,0.4329539873664245,0.4613766559255281,0.21717755928282245,0.7094907407407408,de,0.3023352201639673,0.3023352201639673,-0.011651517009942002,0.04119012405487272,0.050315812869148595,0.007809576729757508,0.49794238683127573,0.49657064471879286,0.4663923182441701,0.3285322359396433,0.4513031550068587,0.35390946502057613,0.44787379972565156,0.3827160493827161,0.5445816186556928,False,seed_specific,2,2,1,1,False,False,True,False,False,not promoted
encoder,6,all,42,2491,0.4356530004877223,0.4268658232992938,0.4268658232992938,0.45873765855475956,0.44790547798066593,0.7816657027183344,0.8981910150891632,yo,-0.16614149273109746,-0.16614149273109746,-0.012058254770934888,0.05209721740316277,0.04988956210019457,-0.04659825128733334,0.5027434842249657,0.4663923182441701,0.49657064471879286,0.4396433470507544,0.5123456790123456,0.21262002743484226,0.4074074074074074,0.2510288065843621,0.5720164609053497,False,seed_specific,1,1,1,1,False,True,True,False,False,not promoted
encoder,6,all,42,205,0.5636062919499271,0.578519534623787,0.578519534623787,0.5342004098291249,0.56328320802005,0.5407750144592249,0.6686385459533607,am,0.01968342759408959,0.01968342759408959,0.014720216805740304,-0.19203249225573146,0.06796177988673471,-0.08280677325267455,0.6577503429355281,0.5829903978052127,0.5692729766803841,0.7366255144032922,0.6179698216735253,0.5253772290809328,0.6186556927297668,0.6364883401920439,0.3724279835390947,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,934,0.4364969757897287,0.4497112567528662,0.4497112567528662,0.47428406916289867,0.5589867525957752,0.4297281665702718,0.7821073388203019,hi,0.11626217678775083,0.11626217678775083,-0.003742197576813029,0.05217594955662344,0.05208327022143927,-0.05612136281638831,0.3511659807956104,0.47530864197530864,0.42386831275720166,0.5219478737997256,0.35665294924554186,0.4897119341563786,0.27434842249657065,0.4938271604938272,0.5802469135802469,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,2636,0.43655213486352074,0.47298006740164955,0.47298006740164955,0.46417382174126576,0.5392051557465092,0.4375361480624638,0.6757115912208504,am,0.17817382616976474,0.17817382616976474,-0.017061856705378384,0.0017232602535611902,0.07909884479289483,-0.008430421188371163,0.45130315500685875,0.46570644718792864,0.4622770919067215,0.4156378600823045,0.5020576131687243,0.39780521262002744,0.4759945130315501,0.4787379972565158,0.6021947873799726,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,319,0.43708215964777825,0.42580738031126686,0.42580738031126686,0.4433013260173754,0.49579305406373075,0.2949681897050318,0.6942944101508917,am,0.3385880895594367,0.3385880895594367,0.005142929050457757,0.033551699552155145,0.14579503092256116,0.053761121504240075,0.3895747599451303,0.46227709190672156,0.4993141289437586,0.19341563786008228,0.4060356652949246,0.45679012345679015,0.522633744855967,0.5555555555555556,0.42249657064471885,False,seed_specific,1,1,1,1,False,False,True,False,False,not promoted
encoder,6,all,42,943,0.43862785790359016,0.42375823468644686,0.42375823468644686,0.4527511050144795,0.3822950232724669,0.4311740890688259,0.7346965020576132,uk,0.07116633173416949,0.07116633173416949,-0.027125403694019425,0.1291543041217696,0.11206049783567117,0.12032894312310614,0.4691358024691358,0.4883401920438958,0.4773662551440329,0.29218106995884774,0.39094650205761317,0.38134430727023316,0.4039780521262003,0.39094650205761317,0.3744855967078189,False,seed_specific,1,1,1,1,False,True,False,False,False,not promoted
encoder,6,all,42,191,0.43872988145361164,0.4068316144219208,0.4068316144219208,0.48585073413605645,0.5844074471894021,0.26373626373626374,0.8967335390946503,am,0.41509932453837994,0.41509932453837994,-0.005961564183547653,0.2070966396476671,0.0915244407886617,0.11448286055611792,0.32647462277091904,0.401920438957476,0.36762688614540473,0.4375857338820302,0.4540466392318244,0.1262002743484225,0.2962962962962963,0.48422496570644724,0.5823045267489712,False,seed_specific,3,2,1,1,False,False,True,False,False,not promoted
