split,language,seed,n_examples,sta_supported,sta_input,sta,sta_ci_lo,sta_ci_hi,sim,sim_ci_lo,sim_ci_hi,fl,fl_ci_lo,fl_ci_hi,j,j_ci_lo,j_ci_hi,delta_sta,sta_unvalidated,sta_unvalidated_ci_lo,sta_unvalidated_ci_hi,j_unvalidated,j_unvalidated_ci_lo,j_unvalidated_ci_hi,unique_output_rate,top_output_share,prefix_diversity,template_rate,matches_train_output_fuzzy_rate,empty_rate,sentinel_rate,copy_input_rate,copy_input_rate_loose
test,en,1337,26,True,0.0011044603306800127,0.583049689012114,0.39124493007615313,0.7462381502799241,0.9173445300414012,0.8746251124315537,0.9481491149044954,0.7055797758377442,0.6181564827041321,0.7903074018156617,0.3987223797602315,0.2571603805801021,0.5447415426070114,0.581945228681434,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.1153846153846153
test,en,2024,26,True,0.0011044602142646909,0.5768143417898011,0.38476495693687934,0.7308284497956685,0.9274661861933194,0.9021430953763998,0.9504949647646683,0.7120623265940984,0.6268132036424626,0.7930386523834885,0.402986403298966,0.255164876058782,0.5512835003132205,0.5757098815755364,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.0769230769230769,0.1153846153846153
test,es,42,26,True,0.31724438071250916,0.5078850279600234,0.31034351650165404,0.7054150966163993,0.9542331718481504,0.9324222823748222,0.9747613226565032,0.6423585569760942,0.5687629065124844,0.7193031940262148,0.32231734961564035,0.19417932609852467,0.4479286347473041,0.19064064724751428,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077
test,es,1337,26,True,0.31724438071250916,0.5467396586016269,0.3628828767330561,0.7314987804543377,0.9312921189344846,0.9047976395831658,0.9556041069901906,0.6440407294431888,0.5774762985194185,0.7154671929593993,0.323574472672767,0.20114882123579855,0.4379178664742111,0.22949527788911772,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.2307692307692307,0.2307692307692307
test,es,2024,26,True,0.31724438071250916,0.503849789018904,0.31276151117949313,0.691922235088574,0.9338836669921875,0.9109112502290653,0.9555912816180633,0.6548258296295881,0.5760541788600968,0.7286622593666221,0.31269941413135405,0.18039479711176484,0.450175854898916,0.18660540830639483,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.1538461538461538,0.1538461538461538
test,hi,42,26,True,0.13714787364006042,0.3075224996696656,0.15310484045784017,0.498167547284818,0.9012519992314852,0.8468479097462618,0.9502146480748287,0.6407969846958562,0.5441232508981174,0.7294463129759777,0.2366050198203838,0.10617760088880725,0.3998679688375776,0.17037462602960518,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.3846153846153846,0.3846153846153846
test,hi,1337,26,True,0.13714787364006042,0.26890521370604314,0.11543565485920296,0.45867883147388616,0.9263214950378125,0.8772234244988515,0.9697255892822375,0.6350841413472446,0.5441407200335738,0.7146183860034674,0.20088597323017512,0.07434325384010998,0.32484102492624384,0.13175734006598272,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.5,0.5
test,hi,2024,26,True,0.13714787364006042,0.4221736345957302,0.23234851616096142,0.6128748898665576,0.8543092287503756,0.7919605514751031,0.9112841484065239,0.6274403716888431,0.5400493994112356,0.7105630332738309,0.24654754190044237,0.135239565543982,0.37579508418102087,0.2850257609556698,,,,,,,1.0,0.0384615384615384,0.9615384615384616,0.0,0.0,0.0,0.0,0.3076923076923077,0.3076923076923077
test,uk,42,26,True,0.04031747952103615,0.4305606615682616,0.2466155472893241,0.6148927631790754,0.9504141601232382,0.9238356946752622,0.9727479968506556,0.7691504820590057,0.7064193194338885,0.8305520406767921,0.33657004002333496,0.1907282648950337,0.4942074464134517,0.39024318204722547,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.3076923076923077,0.3461538461538461
test,uk,1337,26,True,0.04031747952103615,0.5761120831034182,0.3837869235923091,0.7674249341988167,0.9461957078713638,0.921409941980472,0.9695024006641828,0.7854649946652974,0.7242876077015656,0.8408789661082834,0.4543700557512086,0.29242047594688464,0.6188598489358057,0.5357946035823821,,,,,,,1.0,0.0384615384615384,1.0,0.0,0.0,0.0,0.0,0.2307692307692307,0.2692307692307692
