seed,side,layer,contrast,source,target,transfer_type,n_train,n_dev,dev_accuracy,dev_auc,fit_split
42,decoder,8,toxic_vs_detox_reference,en,en,within_language,244,54,0.9074074074074074,0.9766803840877915,
42,decoder,8,toxic_vs_detox_reference,es,es,within_language,244,54,0.8333333333333334,0.9108367626886145,
42,decoder,8,toxic_vs_detox_reference,hi,hi,within_language,244,54,0.9074074074074074,0.962962962962963,
42,decoder,8,toxic_vs_detox_reference,uk,uk,within_language,244,54,0.8148148148148148,0.8888888888888888,
42,decoder,8,toxic_vs_detox_reference,xh,xh,within_language,244,54,1.0,1.0,
42,decoder,8,toxic_vs_detox_reference,yo,yo,within_language,244,54,1.0,1.0,
42,decoder,8,toxic_vs_detox_reference,EN_DE_ES,yo,cross_language,732,54,0.8333333333333334,0.9972565157750344,
42,decoder,8,toxic_vs_detox_reference,EN_DE_ES,xh,cross_language,732,54,0.8518518518518519,0.9835390946502057,
42,decoder,8,toxic_vs_detox_reference,all_non_african,yo,cross_language,1708,54,0.8703703703703703,1.0,
42,decoder,8,toxic_vs_detox_reference,all_non_african,xh,cross_language,1708,54,0.8888888888888888,0.9759945130315502,
42,decoder,8,toxic_vs_detox_reference,YO_XH,am,cross_language,488,54,0.8333333333333334,0.9300411522633745,
42,decoder,8,toxic_vs_detox_reference,YO_XH,ar,cross_language,488,54,0.6111111111111112,0.7229080932784636,
42,decoder,8,toxic_vs_detox_reference,YO_XH,de,cross_language,488,54,0.7222222222222222,0.7736625514403291,
42,decoder,8,toxic_vs_detox_reference,YO_XH,en,cross_language,488,54,0.6296296296296297,0.7379972565157751,
42,decoder,8,toxic_vs_detox_reference,YO_XH,es,cross_language,488,54,0.7037037037037037,0.7256515775034292,
42,decoder,8,toxic_vs_detox_reference,YO_XH,hi,cross_language,488,54,0.7777777777777778,0.7969821673525378,
42,decoder,8,toxic_vs_detox_reference,YO_XH,uk,cross_language,488,54,0.6481481481481481,0.7695473251028807,
42,encoder,4,toxic_vs_generated,dev_cv,multilingual_pooled,dev_cv,0,486,0.6334608843537415,0.7048950415625435,dev (grouped 5-fold CV)
42,encoder,4,toxic_vs_generated,EN_DE_ES,yo,cross_language,162,54,0.5185185185185185,0.35733882030178327,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,EN_DE_ES,xh,cross_language,162,54,0.5,0.7674897119341564,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,all_non_african,yo,cross_language,378,54,0.46296296296296297,0.36145404663923186,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,all_non_african,xh,cross_language,378,54,0.5,0.739368998628258,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,YO_XH,am,cross_language,108,54,0.5,0.5212620027434842,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,YO_XH,ar,cross_language,108,54,0.48148148148148145,0.5116598079561042,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,YO_XH,de,cross_language,108,54,0.5,0.51440329218107,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,YO_XH,en,cross_language,108,54,0.48148148148148145,0.47668038408779145,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,YO_XH,es,cross_language,108,54,0.5,0.5089163237311385,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,YO_XH,hi,cross_language,108,54,0.5,0.5384087791495199,dev (disjoint source languages)
42,encoder,4,toxic_vs_generated,YO_XH,uk,cross_language,108,54,0.5370370370370371,0.5384087791495199,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,dev_cv,multilingual_pooled,dev_cv,0,486,0.6479166666666667,0.7069669683349531,dev (grouped 5-fold CV)
42,encoder,6,toxic_vs_generated,EN_DE_ES,yo,cross_language,162,54,0.46296296296296297,0.43827160493827155,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,EN_DE_ES,xh,cross_language,162,54,0.5,0.6968449931412894,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,all_non_african,yo,cross_language,378,54,0.4444444444444444,0.294238683127572,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,all_non_african,xh,cross_language,378,54,0.5,0.5569272976680384,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,YO_XH,am,cross_language,108,54,0.5,0.5130315500685871,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,YO_XH,ar,cross_language,108,54,0.5,0.5068587105624143,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,YO_XH,de,cross_language,108,54,0.5,0.5061728395061729,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,YO_XH,en,cross_language,108,54,0.46296296296296297,0.4519890260631001,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,YO_XH,es,cross_language,108,54,0.5,0.45747599451303156,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,YO_XH,hi,cross_language,108,54,0.5,0.53360768175583,dev (disjoint source languages)
42,encoder,6,toxic_vs_generated,YO_XH,uk,cross_language,108,54,0.5185185185185185,0.5109739368998628,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,dev_cv,multilingual_pooled,dev_cv,0,486,0.6685374149659864,0.7271444876845296,dev (grouped 5-fold CV)
42,encoder,8,toxic_vs_generated,EN_DE_ES,yo,cross_language,162,54,0.46296296296296297,0.3093278463648834,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,EN_DE_ES,xh,cross_language,162,54,0.5,0.7805212620027435,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,all_non_african,yo,cross_language,378,54,0.5185185185185185,0.27914951989026066,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,all_non_african,xh,cross_language,378,54,0.5370370370370371,0.7626886145404664,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,YO_XH,am,cross_language,108,54,0.48148148148148145,0.4842249657064472,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,YO_XH,ar,cross_language,108,54,0.5185185185185185,0.5219478737997256,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,YO_XH,de,cross_language,108,54,0.5,0.4897119341563786,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,YO_XH,en,cross_language,108,54,0.5370370370370371,0.5178326474622771,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,YO_XH,es,cross_language,108,54,0.48148148148148145,0.48079561042524005,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,YO_XH,hi,cross_language,108,54,0.48148148148148145,0.50960219478738,dev (disjoint source languages)
42,encoder,8,toxic_vs_generated,YO_XH,uk,cross_language,108,54,0.5185185185185185,0.5397805212620027,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,dev_cv,multilingual_pooled,dev_cv,0,486,0.6972363945578232,0.7752967151996853,dev (grouped 5-fold CV)
42,decoder,4,toxic_vs_generated,EN_DE_ES,yo,cross_language,162,54,0.5185185185185185,0.873113854595336,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,EN_DE_ES,xh,cross_language,162,54,0.5,0.9293552812071331,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,all_non_african,yo,cross_language,378,54,0.5,0.9094650205761315,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,all_non_african,xh,cross_language,378,54,0.5185185185185185,0.9053497942386831,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,YO_XH,am,cross_language,108,54,0.5,0.527434842249657,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,YO_XH,ar,cross_language,108,54,0.5185185185185185,0.5631001371742113,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,YO_XH,de,cross_language,108,54,0.5,0.5692729766803841,dev (disjoint source languages)
42,decoder,4,toxic_vs_generated,YO_XH,en,cross_language,108,54,0.5555555555555556,0.713991769547325,dev (disjoint source languages)
