seed,side,layer,contrast,language,split,standardized_cosine_mean,standardized_cosine_std,evidence_type
2024,decoder,6,toxic_vs_detox_reference,ar,dev,0.8425594568252563,0.17261502146720886,associative (correlational; no causal claim)
2024,decoder,6,toxic_vs_detox_reference,de,dev,0.8646790981292725,0.14156340062618256,associative (correlational; no causal claim)
2024,decoder,6,toxic_vs_detox_reference,en,dev,0.8033734560012817,0.1632666438817978,associative (correlational; no causal claim)
2024,decoder,6,toxic_vs_detox_reference,es,dev,0.7863218784332275,0.12105444073677063,associative (correlational; no causal claim)
2024,decoder,6,toxic_vs_detox_reference,hi,dev,0.7517795562744141,0.20569559931755066,associative (correlational; no causal claim)
2024,decoder,6,toxic_vs_detox_reference,uk,dev,0.8339831233024597,0.1403276026248932,associative (correlational; no causal claim)
2024,decoder,6,toxic_vs_detox_reference,xh,dev,0.45937278866767883,0.15026777982711792,associative (correlational; no causal claim)
2024,decoder,6,toxic_vs_detox_reference,yo,dev,0.5263144373893738,0.16703248023986816,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,am,dev,0.7792382836341858,0.1284361332654953,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,ar,dev,0.9080674648284912,0.10930613428354263,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,de,dev,0.9395387172698975,0.07946493476629257,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,en,dev,0.8885382413864136,0.10389360785484314,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,es,dev,0.8943145871162415,0.08272522687911987,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,hi,dev,0.8656858801841736,0.12210046499967575,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,uk,dev,0.9230385422706604,0.07260537147521973,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,xh,dev,0.687336266040802,0.10902386903762817,associative (correlational; no causal claim)
2024,decoder,8,toxic_vs_detox_reference,yo,dev,0.7712303400039673,0.08501649647951126,associative (correlational; no causal claim)
