seed,side,layer,pooling,probe,scope,status,n_train,n_dev,n_dims_used,C,train_accuracy,dev_accuracy,dev_auc,control_dev_accuracy,control_dev_auc,gain_over_control,accuracy_by_behaviour,note
2024,encoder,8,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.1,0.8451730418943534,0.7489711934156379,0.8189469762400718,0.5534979423868313,0.5690274179071618,0.19547325102880664,"{""copy_input"": 0.6830985915492958, ""generic_template"": 0.7575757575757576, ""ordinary_rewrite"": 0.7805755395683454}",
2024,encoder,8,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,encoder,8,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,encoder,8,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.7991803278688525,0.7448559670781894,0.8144253077952209,0.5534979423868313,0.5690274179071618,0.1913580246913581,"{""copy_input"": 0.704225352112676, ""generic_template"": 0.7121212121212122, ""ordinary_rewrite"": 0.7733812949640287}",
2024,encoder,8,pooled_mean_content,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,encoder,8,pooled_mean_content,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,0.9990892531876139,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,decoder,4,pooled_mean_all,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9576502732240437,0.9320987654320988,0.9689579840471473,0.5534979423868313,0.5690274179071618,0.37860082304526754,"{""copy_input"": 0.9225352112676056, ""generic_template"": 0.9848484848484849, ""ordinary_rewrite"": 0.9244604316546763}",
2024,decoder,4,pooled_mean_all,condition:toxic_vs_generated,multilingual_pooled,unavailable,,,,,,,,,,,,generated condition absent for train (Stage 4 did not generate on train)
2024,decoder,4,pooled_mean_all,language_identity,multilingual_pooled,ok,1098.0,243.0,768.0,0.01,1.0,1.0,,0.42386831275720166,,0.5761316872427984,,
2024,decoder,4,pooled_mean_content,condition:toxic_vs_detox_reference,multilingual_pooled,ok,2196.0,486.0,768.0,0.01,0.9599271402550091,0.9320987654320988,0.968670087554404,0.5534979423868313,0.5690274179071618,0.37860082304526754,"{""copy_input"": 0.9225352112676056, ""generic_template"": 0.9848484848484849, ""ordinary_rewrite"": 0.9244604316546763}",
