direction_type,scope,side,layer,pooling,n_seeds,mean_cosine_across_seeds,min_cosine_across_seeds,max_cosine_across_seeds
probe,lang_am,encoder,6,pooled_mean_content,3,0.9224361578623453,0.906054675579071,0.9524279236793518
probe,lang_am,encoder,8,pooled_mean_all,3,0.9185277422269186,0.9033640623092651,0.9475900530815125
probe,lang_am,encoder,8,pooled_mean_content,3,0.9204655090967814,0.9026757478713989,0.950082540512085
probe,lang_ar,decoder,4,pooled_mean_all,3,0.9269033471743265,0.924159049987793,0.9296087622642517
probe,lang_ar,decoder,4,pooled_mean_content,3,0.9262576103210449,0.9235515594482422,0.9289108514785767
probe,lang_ar,decoder,6,pooled_mean_all,3,0.9416194558143616,0.9373250007629395,0.9456304311752319
probe,lang_ar,decoder,6,pooled_mean_content,3,0.9410221378008524,0.9357477426528931,0.9447356462478638
probe,lang_ar,decoder,8,pooled_mean_all,3,0.9350939194361368,0.9282368421554565,0.9452471733093262
probe,lang_ar,decoder,8,pooled_mean_content,3,0.936282753944397,0.9302666783332825,0.9456444978713989
probe,lang_ar,encoder,4,pooled_mean_all,3,0.9298426111539205,0.9093923568725586,0.9542534947395325
probe,lang_ar,encoder,4,pooled_mean_content,3,0.9362147649129232,0.9195469617843628,0.9540740251541138
probe,lang_ar,encoder,6,pooled_mean_all,3,0.9225876927375793,0.9075243473052979,0.9380553960800171
probe,lang_ar,encoder,6,pooled_mean_content,3,0.9314900239308676,0.9171544313430786,0.9441855549812317
probe,lang_ar,encoder,8,pooled_mean_all,3,0.9145026405652364,0.8994745016098022,0.9368031620979309
probe,lang_ar,encoder,8,pooled_mean_content,3,0.9213025768597921,0.9093233942985535,0.9370666742324829
probe,lang_de,decoder,4,pooled_mean_all,3,0.9328788717587789,0.9308782815933228,0.9364410042762756
probe,lang_de,decoder,4,pooled_mean_content,3,0.9308520952860514,0.9288867712020874,0.9345436096191406
probe,lang_de,decoder,6,pooled_mean_all,3,0.9337615172068278,0.9245016574859619,0.9448150992393494
probe,lang_de,decoder,6,pooled_mean_content,3,0.9316309491793314,0.9220726490020752,0.9431803822517395
probe,lang_de,decoder,8,pooled_mean_all,3,0.934923509756724,0.9246934056282043,0.9477455615997314
probe,lang_de,decoder,8,pooled_mean_content,3,0.934289813041687,0.9245209693908691,0.9486373662948608
probe,lang_de,encoder,4,pooled_mean_all,3,0.929857075214386,0.915717363357544,0.9531777501106262
probe,lang_de,encoder,4,pooled_mean_content,3,0.9360242684682211,0.9219797849655151,0.9561848640441895
probe,lang_de,encoder,6,pooled_mean_all,3,0.918575127919515,0.901658296585083,0.9454851150512695
probe,lang_de,encoder,6,pooled_mean_content,3,0.9222399791081747,0.9104285836219788,0.9454696774482727
probe,lang_de,encoder,8,pooled_mean_all,3,0.9114967783292135,0.8979209661483765,0.9378563165664673
probe,lang_de,encoder,8,pooled_mean_content,3,0.9183767636617025,0.9061230421066284,0.9427667856216431
probe,lang_en,decoder,4,pooled_mean_all,3,0.9436796506245931,0.9382317066192627,0.9514734745025635
probe,lang_en,decoder,4,pooled_mean_content,3,0.9389051198959351,0.9327584505081177,0.9490358829498291
probe,lang_en,decoder,6,pooled_mean_all,3,0.9454126556714376,0.942897379398346,0.9499611258506775
probe,lang_en,decoder,6,pooled_mean_content,3,0.9435616334279379,0.9395742416381836,0.9488985538482666
probe,lang_en,decoder,8,pooled_mean_all,3,0.9502499500910441,0.942632794380188,0.9545168876647949
probe,lang_en,decoder,8,pooled_mean_content,3,0.9506271481513977,0.943234384059906,0.9548525214195251
probe,lang_en,encoder,4,pooled_mean_all,3,0.9353053768475851,0.9181690812110901,0.9652600288391113
probe,lang_en,encoder,4,pooled_mean_content,3,0.944221019744873,0.9272825121879578,0.9655452966690063
probe,lang_en,encoder,6,pooled_mean_all,3,0.9316118160883585,0.9151378273963928,0.9596062302589417
probe,lang_en,encoder,6,pooled_mean_content,3,0.9415616591771444,0.9294611215591431,0.9638857841491699
probe,lang_en,encoder,8,pooled_mean_all,3,0.9217384258906046,0.899757444858551,0.9522818922996521
probe,lang_en,encoder,8,pooled_mean_content,3,0.9323710799217224,0.9154543876647949,0.9555317759513855
probe,lang_es,decoder,4,pooled_mean_all,3,0.9454954862594604,0.9361121654510498,0.9517068862915039
probe,lang_es,decoder,4,pooled_mean_content,3,0.9415040413538615,0.9351021647453308,0.9447568655014038
probe,lang_es,decoder,6,pooled_mean_all,3,0.9444377223650614,0.9395464062690735,0.9484778642654419
probe,lang_es,decoder,6,pooled_mean_content,3,0.94461590051651,0.9420754909515381,0.9479854702949524
probe,lang_es,decoder,8,pooled_mean_all,3,0.9499425093332926,0.9470381736755371,0.9518247842788696
probe,lang_es,decoder,8,pooled_mean_content,3,0.952384332815806,0.9481455087661743,0.9559351205825806
probe,lang_es,encoder,4,pooled_mean_all,3,0.9279910922050476,0.9133223295211792,0.9557284116744995
probe,lang_es,encoder,4,pooled_mean_content,3,0.9348487059275309,0.9222151041030884,0.9570357203483582
probe,lang_es,encoder,6,pooled_mean_all,3,0.9129971067110697,0.8993282914161682,0.9397096633911133
probe,lang_es,encoder,6,pooled_mean_content,3,0.9192366600036621,0.901698648929596,0.9439901113510132
probe,lang_es,encoder,8,pooled_mean_all,3,0.906704823176066,0.8894868493080139,0.9387238621711731
probe,lang_es,encoder,8,pooled_mean_content,3,0.9138073126475016,0.8982937335968018,0.9387671947479248
probe,lang_hi,decoder,4,pooled_mean_all,3,0.9420914451281229,0.9355400800704956,0.9481036067008972
probe,lang_hi,decoder,4,pooled_mean_content,3,0.9400327801704407,0.9330556988716125,0.9479993581771851
probe,lang_hi,decoder,6,pooled_mean_all,3,0.9386929472287496,0.9297009706497192,0.9486077427864075
probe,lang_hi,decoder,6,pooled_mean_content,3,0.9362851977348328,0.9275806546211243,0.9469103813171387
probe,lang_hi,decoder,8,pooled_mean_all,3,0.9414057930310568,0.9355722665786743,0.9449138045310974
probe,lang_hi,decoder,8,pooled_mean_content,3,0.9419403672218323,0.9359380602836609,0.9454006552696228
probe,lang_hi,encoder,4,pooled_mean_all,3,0.9370642304420471,0.9221963882446289,0.961054265499115
probe,lang_hi,encoder,4,pooled_mean_content,3,0.9414727489153544,0.929502546787262,0.9623821973800659
probe,lang_hi,encoder,6,pooled_mean_all,3,0.9270382523536682,0.9121885895729065,0.9462991952896118
probe,lang_hi,encoder,6,pooled_mean_content,3,0.9292134046554565,0.9149596691131592,0.944341778755188
probe,lang_hi,encoder,8,pooled_mean_all,3,0.9255339701970419,0.9082696437835693,0.9448662400245667
probe,lang_hi,encoder,8,pooled_mean_content,3,0.9281916618347168,0.9145179986953735,0.9436392188072205
probe,lang_uk,decoder,4,pooled_mean_all,3,0.9381737311681112,0.9290372729301453,0.9548874497413635
probe,lang_uk,decoder,4,pooled_mean_content,3,0.9359166026115417,0.9262166023254395,0.9509985446929932
probe,lang_uk,decoder,6,pooled_mean_all,3,0.9341770807902018,0.9258861541748047,0.9494748711585999
probe,lang_uk,decoder,6,pooled_mean_content,3,0.9311954180399576,0.9197306036949158,0.9485005140304565
probe,lang_uk,decoder,8,pooled_mean_all,3,0.943938136100769,0.9388766288757324,0.953139066696167
probe,lang_uk,decoder,8,pooled_mean_content,3,0.9440299868583679,0.93781977891922,0.9561402797698975
probe,lang_uk,encoder,4,pooled_mean_all,3,0.924536406993866,0.9100806713104248,0.9460604786872864
probe,lang_uk,encoder,4,pooled_mean_content,3,0.9253546794255575,0.9100724458694458,0.9452247619628906
probe,lang_uk,encoder,6,pooled_mean_all,3,0.8998542229334513,0.8770613074302673,0.935184121131897
