key,direction_type,scope,source_languages,n_source_languages,n_rows_toxic,n_rows_reference,n_rows_total,seed,side,layer,pooling,space,d_model,raw_norm,normalization,language_balanced,underdetermined,is_primary,arm,norm_stats_file,injection_note,matched_to
random|lang_am|encoder|L4|pooled_mean_content|seed42|match_mean_diff,random,lang_am,am,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_am|encoder|L4|pooled_mean_content|seed42
probe|lang_am|encoder|L4|pooled_mean_content|seed42,probe,lang_am,am,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.9596134424209595,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_am|encoder|L4|pooled_mean_content|seed42|match_probe,random,lang_am,am,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_am|encoder|L4|pooled_mean_content|seed42
mean_diff|lang_ar|encoder|L4|pooled_mean_content|seed42,mean_diff,lang_ar,ar,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.6337907314300537,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_ar|encoder|L4|pooled_mean_content|seed42|match_mean_diff,random,lang_ar,ar,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_ar|encoder|L4|pooled_mean_content|seed42
probe|lang_ar|encoder|L4|pooled_mean_content|seed42,probe,lang_ar,ar,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.8485748767852783,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_ar|encoder|L4|pooled_mean_content|seed42|match_probe,random,lang_ar,ar,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_ar|encoder|L4|pooled_mean_content|seed42
mean_diff|lang_de|encoder|L4|pooled_mean_content|seed42,mean_diff,lang_de,de,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0112180709838867,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_de|encoder|L4|pooled_mean_content|seed42|match_mean_diff,random,lang_de,de,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_de|encoder|L4|pooled_mean_content|seed42
probe|lang_de|encoder|L4|pooled_mean_content|seed42,probe,lang_de,de,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.9198814630508423,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_de|encoder|L4|pooled_mean_content|seed42|match_probe,random,lang_de,de,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_de|encoder|L4|pooled_mean_content|seed42
mean_diff|lang_en|encoder|L4|pooled_mean_content|seed42,mean_diff,lang_en,en,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,16.152053833007812,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_en|encoder|L4|pooled_mean_content|seed42|match_mean_diff,random,lang_en,en,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_en|encoder|L4|pooled_mean_content|seed42
probe|lang_en|encoder|L4|pooled_mean_content|seed42,probe,lang_en,en,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,2.0609703063964844,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_en|encoder|L4|pooled_mean_content|seed42|match_probe,random,lang_en,en,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_en|encoder|L4|pooled_mean_content|seed42
mean_diff|lang_es|encoder|L4|pooled_mean_content|seed42,mean_diff,lang_es,es,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,3.6736514568328857,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_es|encoder|L4|pooled_mean_content|seed42|match_mean_diff,random,lang_es,es,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_es|encoder|L4|pooled_mean_content|seed42
probe|lang_es|encoder|L4|pooled_mean_content|seed42,probe,lang_es,es,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.9923466444015503,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,True,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_es|encoder|L4|pooled_mean_content|seed42|match_probe,random,lang_es,es,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,probe|lang_es|encoder|L4|pooled_mean_content|seed42
mean_diff|lang_hi|encoder|L4|pooled_mean_content|seed42,mean_diff,lang_hi,hi,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,3.16866397857666,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,True,primary,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,
random|lang_hi|encoder|L4|pooled_mean_content|seed42|match_mean_diff,random,lang_hi,hi,1,122,122,244,42,encoder,4,pooled_mean_content,pooled_standardized,768,1.0,L2 unit norm; pre-normalisation norm recorded as raw_norm,True,False,False,random_control,results/activations/norm_stats/seed42_encoder_layer04_toxic.pt,add alpha * vector * sd to the raw activation,mean_diff|lang_hi|encoder|L4|pooled_mean_content|seed42
