scope,side,layer,pooling,seed,cos_meandiff_probe
lang_yo,decoder,6,pooled_mean_all,1337,0.8853025436401367
lang_yo,decoder,6,pooled_mean_all,2024,0.9036306142807007
lang_yo,decoder,6,pooled_mean_content,42,0.9010112881660461
lang_yo,decoder,6,pooled_mean_content,1337,0.8859468102455139
lang_yo,decoder,6,pooled_mean_content,2024,0.9056752920150757
lang_yo,decoder,8,pooled_mean_all,42,0.9066777229309082
lang_yo,decoder,8,pooled_mean_all,1337,0.8996372222900391
lang_yo,decoder,8,pooled_mean_all,2024,0.9072659611701965
lang_yo,decoder,8,pooled_mean_content,42,0.907434344291687
lang_yo,decoder,8,pooled_mean_content,1337,0.9034856557846069
lang_yo,decoder,8,pooled_mean_content,2024,0.9113146066665649
lang_yo,encoder,4,pooled_mean_all,42,0.31542426347732544
lang_yo,encoder,4,pooled_mean_all,1337,0.2766716778278351
lang_yo,encoder,4,pooled_mean_all,2024,0.4005507230758667
lang_yo,encoder,4,pooled_mean_content,42,0.4223299026489258
lang_yo,encoder,4,pooled_mean_content,1337,0.4209292232990265
lang_yo,encoder,4,pooled_mean_content,2024,0.6060078144073486
lang_yo,encoder,6,pooled_mean_all,42,0.3354499042034149
lang_yo,encoder,6,pooled_mean_all,1337,0.2963690161705017
lang_yo,encoder,6,pooled_mean_all,2024,0.4140695035457611
lang_yo,encoder,6,pooled_mean_content,42,0.43993955850601196
lang_yo,encoder,6,pooled_mean_content,1337,0.43400365114212036
lang_yo,encoder,6,pooled_mean_content,2024,0.5737552642822266
lang_yo,encoder,8,pooled_mean_all,42,0.3980075716972351
lang_yo,encoder,8,pooled_mean_all,1337,0.36160826683044434
lang_yo,encoder,8,pooled_mean_all,2024,0.48723870515823364
lang_yo,encoder,8,pooled_mean_content,42,0.5179286003112793
lang_yo,encoder,8,pooled_mean_content,1337,0.5253572463989258
lang_yo,encoder,8,pooled_mean_content,2024,0.6304401159286499
pooled_african,decoder,4,pooled_mean_all,42,0.813740074634552
pooled_african,decoder,4,pooled_mean_all,1337,0.8052563667297363
pooled_african,decoder,4,pooled_mean_all,2024,0.7593995928764343
pooled_african,decoder,4,pooled_mean_content,42,0.8363422155380249
pooled_african,decoder,4,pooled_mean_content,1337,0.8319286704063416
pooled_african,decoder,4,pooled_mean_content,2024,0.7826061248779297
pooled_african,decoder,6,pooled_mean_all,42,0.7832385301589966
pooled_african,decoder,6,pooled_mean_all,1337,0.7957555055618286
pooled_african,decoder,6,pooled_mean_all,2024,0.7620972990989685
pooled_african,decoder,6,pooled_mean_content,42,0.773624837398529
pooled_african,decoder,6,pooled_mean_content,1337,0.7897448539733887
pooled_african,decoder,6,pooled_mean_content,2024,0.7543299198150635
pooled_african,decoder,8,pooled_mean_all,42,0.8153789043426514
pooled_african,decoder,8,pooled_mean_all,1337,0.8396886587142944
pooled_african,decoder,8,pooled_mean_all,2024,0.7999194264411926
pooled_african,decoder,8,pooled_mean_content,42,0.804092526435852
pooled_african,decoder,8,pooled_mean_content,1337,0.8408341407775879
pooled_african,decoder,8,pooled_mean_content,2024,0.7969125509262085
pooled_african,encoder,4,pooled_mean_all,42,0.14223672449588776
pooled_african,encoder,4,pooled_mean_all,1337,0.13658300042152405
pooled_african,encoder,4,pooled_mean_all,2024,0.1674392819404602
pooled_african,encoder,4,pooled_mean_content,42,0.39891380071640015
pooled_african,encoder,4,pooled_mean_content,1337,0.39785435795783997
pooled_african,encoder,4,pooled_mean_content,2024,0.45904186367988586
pooled_african,encoder,6,pooled_mean_all,42,0.15782541036605835
pooled_african,encoder,6,pooled_mean_all,1337,0.1524019092321396
pooled_african,encoder,6,pooled_mean_all,2024,0.1795811653137207
pooled_african,encoder,6,pooled_mean_content,42,0.3877905011177063
pooled_african,encoder,6,pooled_mean_content,1337,0.39747193455696106
pooled_african,encoder,6,pooled_mean_content,2024,0.4436919689178467
pooled_african,encoder,8,pooled_mean_all,42,0.1878749430179596
pooled_african,encoder,8,pooled_mean_all,1337,0.17956975102424622
pooled_african,encoder,8,pooled_mean_all,2024,0.21712230145931244
pooled_african,encoder,8,pooled_mean_content,42,0.39402174949645996
pooled_african,encoder,8,pooled_mean_content,1337,0.3935156464576721
pooled_african,encoder,8,pooled_mean_content,2024,0.4117376506328583
pooled_all_balanced,decoder,4,pooled_mean_all,42,0.4361828565597534
pooled_all_balanced,decoder,4,pooled_mean_all,1337,0.44086718559265137
pooled_all_balanced,decoder,4,pooled_mean_all,2024,0.46107837557792664
pooled_all_balanced,decoder,4,pooled_mean_content,42,0.43606269359588623
pooled_all_balanced,decoder,4,pooled_mean_content,1337,0.44038230180740356
pooled_all_balanced,decoder,4,pooled_mean_content,2024,0.4640963077545166
pooled_all_balanced,decoder,6,pooled_mean_all,42,0.36029836535453796
pooled_all_balanced,decoder,6,pooled_mean_all,1337,0.37156665325164795
pooled_all_balanced,decoder,6,pooled_mean_all,2024,0.3620368242263794
pooled_all_balanced,decoder,6,pooled_mean_content,42,0.3629370927810669
pooled_all_balanced,decoder,6,pooled_mean_content,1337,0.37268441915512085
pooled_all_balanced,decoder,6,pooled_mean_content,2024,0.3634786307811737
pooled_all_balanced,decoder,8,pooled_mean_all,42,0.40004879236221313
pooled_all_balanced,decoder,8,pooled_mean_all,1337,0.4135098457336426
pooled_all_balanced,decoder,8,pooled_mean_all,2024,0.41873699426651
pooled_all_balanced,decoder,8,pooled_mean_content,42,0.40407514572143555
pooled_all_balanced,decoder,8,pooled_mean_content,1337,0.41784024238586426
pooled_all_balanced,decoder,8,pooled_mean_content,2024,0.4207058846950531
pooled_all_balanced,encoder,4,pooled_mean_all,42,0.33029603958129883
pooled_all_balanced,encoder,4,pooled_mean_all,1337,0.3404860496520996
pooled_all_balanced,encoder,4,pooled_mean_all,2024,0.36414119601249695
pooled_all_balanced,encoder,4,pooled_mean_content,42,0.3604782521724701
pooled_all_balanced,encoder,4,pooled_mean_content,1337,0.3269246220588684
pooled_all_balanced,encoder,4,pooled_mean_content,2024,0.2856367230415344
pooled_all_balanced,encoder,6,pooled_mean_all,42,0.3342124819755554
pooled_all_balanced,encoder,6,pooled_mean_all,1337,0.3460099399089813
pooled_all_balanced,encoder,6,pooled_mean_all,2024,0.359771192073822
pooled_all_balanced,encoder,6,pooled_mean_content,42,0.35739800333976746
pooled_all_balanced,encoder,6,pooled_mean_content,1337,0.34748008847236633
pooled_all_balanced,encoder,6,pooled_mean_content,2024,0.318287193775177
pooled_all_balanced,encoder,8,pooled_mean_all,42,0.33496689796447754
pooled_all_balanced,encoder,8,pooled_mean_all,1337,0.3466986417770386
pooled_all_balanced,encoder,8,pooled_mean_all,2024,0.3630276620388031
pooled_all_balanced,encoder,8,pooled_mean_content,42,0.37033700942993164
pooled_all_balanced,encoder,8,pooled_mean_content,1337,0.3625146746635437
pooled_all_balanced,encoder,8,pooled_mean_content,2024,0.3409412205219269
pooled_non_african,decoder,4,pooled_mean_all,42,0.46314844489097595
pooled_non_african,decoder,4,pooled_mean_all,1337,0.46772462129592896
pooled_non_african,decoder,4,pooled_mean_all,2024,0.5052661895751953
pooled_non_african,decoder,4,pooled_mean_content,42,0.4699600338935852
pooled_non_african,decoder,4,pooled_mean_content,1337,0.4686879515647888
pooled_non_african,decoder,4,pooled_mean_content,2024,0.5107829570770264
pooled_non_african,decoder,6,pooled_mean_all,42,0.4160851240158081
pooled_non_african,decoder,6,pooled_mean_all,1337,0.42085182666778564
pooled_non_african,decoder,6,pooled_mean_all,2024,0.4065220355987549
pooled_non_african,decoder,6,pooled_mean_content,42,0.4262097477912903
pooled_non_african,decoder,6,pooled_mean_content,1337,0.4263574481010437
pooled_non_african,decoder,6,pooled_mean_content,2024,0.41151291131973267
pooled_non_african,decoder,8,pooled_mean_all,42,0.4143257141113281
