direction_type,side,layer,pooling,seed,lang_a,lang_b,cosine,pair_type
mean_diff,decoder,4,pooled_mean_content,1337,uk,xh,0.46627306938171387,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,uk,yo,0.5042101144790649,cross-group
mean_diff,decoder,4,pooled_mean_content,1337,xh,yo,0.7047481536865234,african-african
mean_diff,decoder,4,pooled_mean_content,2024,am,ar,0.8025927543640137,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,am,de,0.803858757019043,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,am,en,0.7040246725082397,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,am,es,0.846011757850647,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,am,hi,0.8681183457374573,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,am,uk,0.7646156549453735,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,am,xh,0.6183788180351257,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,am,yo,0.6815396547317505,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,ar,de,0.777428388595581,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,ar,en,0.7085126638412476,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,ar,es,0.8265292644500732,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,ar,hi,0.763524055480957,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,ar,uk,0.758493185043335,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,ar,xh,0.5444679260253906,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,ar,yo,0.5347728729248047,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,de,en,0.7538557052612305,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,de,es,0.8532325625419617,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,de,hi,0.8019174933433533,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,de,uk,0.7795826196670532,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,de,xh,0.5419586896896362,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,de,yo,0.5173735022544861,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,en,es,0.8089804649353027,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,en,hi,0.663072943687439,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,en,uk,0.6715636253356934,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,en,xh,0.48481518030166626,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,en,yo,0.4403737783432007,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,es,hi,0.8156842589378357,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,es,uk,0.8034487962722778,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,es,xh,0.6202754974365234,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,es,yo,0.5912545919418335,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,hi,uk,0.7611618041992188,nonafrican-nonafrican
mean_diff,decoder,4,pooled_mean_content,2024,hi,xh,0.5894189476966858,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,hi,yo,0.6108649969100952,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,uk,xh,0.5010082721710205,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,uk,yo,0.49682319164276123,cross-group
mean_diff,decoder,4,pooled_mean_content,2024,xh,yo,0.7144055366516113,african-african
mean_diff,decoder,6,pooled_mean_all,42,am,ar,0.817693829536438,nonafrican-nonafrican
mean_diff,decoder,6,pooled_mean_all,42,am,de,0.8382885456085205,nonafrican-nonafrican
